"alpha","alpha_0","mu","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.90043,-0.89984,0.13257,1,0,0,0.5,0
-0.90041,-0.89982,0.13255,1,0.001,0.001,0.5,0
-0.90038,-0.89979,0.13254,1,0.002,0.002,0.5,0
-0.90035,-0.89976,0.13252,1,0.003,0.003,0.5,0
-0.90033,-0.89974,0.1325,1,0.004,0.004,0.5,0
-0.9003,-0.89971,0.13249,1,0.005,0.005,0.5,0
-0.90027,-0.89968,0.13247,1,0.006,0.006,0.5,0
-0.90025,-0.89966,0.13245,1,0.007,0.007,0.5,0
-0.90022,-0.89963,0.13244,1,0.008,0.008,0.5,0
-0.90019,-0.8996,0.13242,1,0.009,0.009,0.5,0
-0.90017,-0.89958,0.1324,1,0.01,0.01,0.5,0
-0.90008,-0.89949,0.13235,1,0.011,0.011,0.5,0
-0.9,-0.89941,0.1323,1,0.012,0.012,0.5,0
-0.89992,-0.89933,0.13225,1,0.013,0.013,0.5,0
-0.89984,-0.89925,0.1322,1,0.014,0.014,0.5,0
-0.89976,-0.89917,0.13215,1,0.015,0.015,0.5,0
-0.89968,-0.89909,0.1321,1,0.016,0.016,0.5,0
-0.8996,-0.89901,0.13205,1,0.017,0.017,0.5,0
-0.89952,-0.89893,0.132,1,0.018,0.018,0.5,0
-0.89944,-0.89885,0.13195,1,0.019,0.019,0.5,0
-0.89936,-0.89877,0.1319,1,0.02,0.02,0.5,0
-0.89922,-0.89863,0.13181,1,0.021,0.021,0.5,0
-0.89908,-0.89849,0.13172,1,0.022,0.022,0.5,0
-0.89894,-0.89835,0.13164,1,0.023,0.023,0.5,0
-0.8988,-0.89821,0.13155,1,0.024,0.024,0.5,0
-0.89866,-0.89807,0.13146,1,0.025,0.025,0.5,0
-0.89852,-0.89793,0.13138,1,0.026,0.026,0.5,0
-0.89838,-0.89779,0.13129,1,0.027,0.027,0.5,0
-0.89824,-0.89765,0.13121,1,0.028,0.028,0.5,0
-0.8981,-0.89751,0.13112,1,0.029,0.029,0.5,0
-0.89796,-0.89737,0.13103,1,0.03,0.03,0.5,0
-0.89776,-0.89717,0.13091,1,0.031,0.031,0.5,0
-0.89755,-0.89696,0.13079,1,0.032,0.032,0.5,0
-0.89735,-0.89676,0.13066,1,0.033,0.033,0.5,0
-0.89714,-0.89655,0.13054,1,0.034,0.034,0.5,0
-0.89693,-0.89634,0.13042,1,0.035,0.035,0.5,0
-0.89673,-0.89614,0.1303,1,0.036,0.036,0.5,0
-0.89652,-0.89593,0.13017,1,0.037,0.037,0.5,0
-0.89632,-0.89573,0.13005,1,0.038,0.038,0.5,0
-0.89611,-0.89552,0.12993,1,0.039,0.039,0.5,0
-0.8959,-0.89531,0.12981,1,0.04,0.04,0.5,0
-0.89562,-0.89503,0.12965,1,0.041,0.041,0.5,0
-0.89533,-0.89474,0.12949,1,0.042,0.042,0.5,0
-0.89505,-0.89446,0.12933,1,0.043,0.043,0.5,0
-0.89476,-0.89417,0.12917,1,0.044,0.044,0.5,0
-0.89448,-0.89388,0.12901,1,0.045,0.045,0.5,0
-0.89419,-0.8936,0.12885,1,0.046,0.046,0.5,0
-0.89391,-0.89331,0.1287,1,0.047,0.047,0.5,0
-0.89362,-0.89303,0.12854,1,0.048,0.048,0.5,0
-0.89333,-0.89274,0.12838,1,0.049,0.049,0.5,0
