"alpha","alpha_0","mu","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.96827,-0.9673,0.026817,1,0,0.5,0,0
-0.96825,-0.96727,0.026813,1,0.001,0.5,0.001,0
-0.96822,-0.96724,0.02681,1,0.002,0.5,0.002,0
-0.96819,-0.96722,0.026806,1,0.003,0.5,0.003,0
-0.96817,-0.96719,0.026803,1,0.004,0.5,0.004,0
-0.96814,-0.96717,0.026799,1,0.005,0.5,0.005,0
-0.96811,-0.96714,0.026796,1,0.006,0.5,0.006,0
-0.96809,-0.96711,0.026793,1,0.007,0.5,0.007,0
-0.96806,-0.96709,0.026789,1,0.008,0.5,0.008,0
-0.96803,-0.96706,0.026786,1,0.009,0.5,0.009,0
-0.96801,-0.96703,0.026782,1,0.01,0.5,0.01,0
-0.96793,-0.96695,0.026772,1,0.011,0.5,0.011,0
-0.96784,-0.96687,0.026762,1,0.012,0.5,0.012,0
-0.96776,-0.96679,0.026752,1,0.013,0.5,0.013,0
-0.96768,-0.96671,0.026741,1,0.014,0.5,0.014,0
-0.9676,-0.96663,0.026731,1,0.015,0.5,0.015,0
-0.96752,-0.96655,0.026721,1,0.016,0.5,0.016,0
-0.96744,-0.96646,0.02671,1,0.017,0.5,0.017,0
-0.96736,-0.96638,0.0267,1,0.018,0.5,0.018,0
-0.96728,-0.9663,0.02669,1,0.019,0.5,0.019,0
-0.9672,-0.96622,0.02668,1,0.02,0.5,0.02,0
-0.96705,-0.96608,0.026662,1,0.021,0.5,0.021,0
-0.96691,-0.96594,0.026645,1,0.022,0.5,0.022,0
-0.96677,-0.9658,0.026628,1,0.023,0.5,0.023,0
-0.96663,-0.96566,0.026611,1,0.024,0.5,0.024,0
-0.96649,-0.96552,0.026594,1,0.025,0.5,0.025,0
-0.96635,-0.96538,0.026577,1,0.026,0.5,0.026,0
-0.96621,-0.96524,0.02656,1,0.027,0.5,0.027,0
-0.96607,-0.9651,0.026543,1,0.028,0.5,0.028,0
-0.96593,-0.96496,0.026525,1,0.029,0.5,0.029,0
-0.96579,-0.96482,0.026508,1,0.03,0.5,0.03,0
-0.96558,-0.96461,0.026484,1,0.031,0.5,0.031,0
-0.96537,-0.9644,0.02646,1,0.032,0.5,0.032,0
-0.96517,-0.96419,0.026436,1,0.033,0.5,0.033,0
-0.96496,-0.96398,0.026412,1,0.034,0.5,0.034,0
-0.96475,-0.96378,0.026388,1,0.035,0.5,0.035,0
-0.96454,-0.96357,0.026364,1,0.036,0.5,0.036,0
-0.96433,-0.96336,0.02634,1,0.037,0.5,0.037,0
-0.96412,-0.96315,0.026316,1,0.038,0.5,0.038,0
-0.96392,-0.96294,0.026292,1,0.039,0.5,0.039,0
-0.96371,-0.96274,0.026268,1,0.04,0.5,0.04,0
-0.96342,-0.96245,0.026237,1,0.041,0.5,0.041,0
-0.96313,-0.96216,0.026206,1,0.042,0.5,0.042,0
-0.96285,-0.96187,0.026175,1,0.043,0.5,0.043,0
-0.96256,-0.96159,0.026144,1,0.044,0.5,0.044,0
-0.96227,-0.9613,0.026113,1,0.045,0.5,0.045,0
-0.96199,-0.96101,0.026082,1,0.046,0.5,0.046,0
-0.9617,-0.96073,0.026051,1,0.047,0.5,0.047,0
-0.96141,-0.96044,0.02602,1,0.048,0.5,0.048,0
-0.96112,-0.96015,0.025989,1,0.049,0.5,0.049,0
-0.96084,-0.95986,0.025958,1,0.05,0.5,0.05,0
-0.96045,-0.95948,0.02592,1,0.051,0.5,0.051,0
-0.96007,-0.9591,0.025882,1,0.052,0.5,0.052,0
-0.95969,-0.95872,0.025845,1,0.053,0.5,0.053,0
-0.9593,-0.95833,0.025807,1,0.054,0.5,0.054,0
-0.95892,-0.95795,0.025769,1,0.055,0.5,0.055,0
-0.95854,-0.95757,0.025731,1,0.056,0.5,0.056,0
-0.95816,-0.95718,0.025693,1,0.057,0.5,0.057,0
-0.95777,-0.9568,0.025655,1,0.058,0.5,0.058,0
-0.95739,-0.95642,0.025617,1,0.059,0.5,0.059,0
-0.95701,-0.95604,0.025579,1,0.06,0.5,0.06,0
-0.95651,-0.95554,0.025534,1,0.061,0.5,0.061,0
-0.95601,-0.95504,0.025489,1,0.062,0.5,0.062,0
-0.95551,-0.95454,0.025444,1,0.063,0.5,0.063,0
-0.95501,-0.95404,0.025399,1,0.064,0.5,0.064,0
-0.95451,-0.95354,0.025354,1,0.065,0.5,0.065,0
-0.95401,-0.95304,0.025309,1,0.066,0.5,0.066,0
-0.95351,-0.95254,0.025264,1,0.067,0.5,0.067,0
-0.95301,-0.95204,0.025218,1,0.068,0.5,0.068,0
-0.95251,-0.95154,0.025173,1,0.069,0.5,0.069,0
-0.95201,-0.95104,0.025128,1,0.07,0.5,0.07,0
-0.95137,-0.9504,0.025076,1,0.071,0.5,0.071,0
-0.95072,-0.94975,0.025024,1,0.072,0.5,0.072,0
-0.95008,-0.94911,0.024972,1,0.073,0.5,0.073,0
-0.94943,-0.94846,0.024919,1,0.074,0.5,0.074,0
-0.94879,-0.94782,0.024867,1,0.075,0.5,0.075,0
-0.94815,-0.94718,0.024815,1,0.076,0.5,0.076,0
-0.9475,-0.94653,0.024762,1,0.077,0.5,0.077,0
-0.94686,-0.94589,0.02471,1,0.078,0.5,0.078,0
-0.94621,-0.94524,0.024658,1,0.079,0.5,0.079,0
-0.94557,-0.9446,0.024606,1,0.08,0.5,0.08,0
-0.94475,-0.94378,0.024546,1,0.081,0.5,0.081,0
-0.94392,-0.94295,0.024486,1,0.082,0.5,0.082,0
-0.9431,-0.94213,0.024427,1,0.083,0.5,0.083,0
-0.94228,-0.94131,0.024367,1,0.084,0.5,0.084,0
-0.94146,-0.94048,0.024307,1,0.085,0.5,0.085,0
-0.94063,-0.93966,0.024248,1,0.086,0.5,0.086,0
-0.93981,-0.93884,0.024188,1,0.087,0.5,0.087,0
-0.93899,-0.93802,0.024128,1,0.088,0.5,0.088,0
-0.93816,-0.93719,0.024069,1,0.089,0.5,0.089,0
-0.93734,-0.93637,0.024009,1,0.09,0.5,0.09,0
-0.93629,-0.93532,0.023942,1,0.091,0.5,0.091,0
-0.93525,-0.93428,0.023874,1,0.092,0.5,0.092,0
-0.9342,-0.93323,0.023807,1,0.093,0.5,0.093,0
-0.93316,-0.93219,0.023739,1,0.094,0.5,0.094,0
