Time	inlet	inlet	outlet	outlet	solid	solid	 volume 	 average
50	-7.4208e-06	1	9.36896e-06	1.26253	4.15011	0.957785	0.174723	1.65449
100	-7.4208e-06	1	1.23858e-05	1.66906	4.15011	0.924581	0.174723	2.37564
150	-7.4208e-06	1	1.58302e-05	2.13322	4.15011	0.899714	0.174723	2.98076
200	-7.4208e-06	1	1.92726e-05	2.5971	4.15011	0.881549	0.174723	3.43669
250	-7.4208e-06	1	2.24267e-05	3.02214	4.15011	0.868391	0.174723	3.76088
300	-7.4208e-06	1	2.51415e-05	3.38798	4.15011	0.858824	0.174723	3.9829
50	-7.4208e-06	1	9.36896e-06	1.26253	4.15011	0.957785	0.174723	1.65449
100	-7.4208e-06	1	1.23858e-05	1.66906	4.15011	0.924581	0.174723	2.37564
150	-7.4208e-06	1	1.58302e-05	2.13322	4.15011	0.899714	0.174723	2.98076
200	-7.4208e-06	1	1.92726e-05	2.5971	4.15011	0.881549	0.174723	3.4367
250	-7.4208e-06	1	2.24267e-05	3.02214	4.15011	0.868391	0.174723	3.76089
300	-7.4208e-06	1	2.51415e-05	3.38798	4.15011	0.858824	0.174723	3.98291
350	-7.4208e-06	1	2.73779e-05	3.68935	4.15011	0.851778	0.174723	4.13061
400	-7.4208e-06	1	2.91682e-05	3.9306	4.15011	0.846481	0.174723	4.2262
450	-7.4208e-06	1	3.05779e-05	4.12057	4.15011	0.842395	0.174723	4.28602
500	-7.4208e-06	1	3.16799e-05	4.26906	4.15011	0.839149	0.174723	4.32161
550	-7.4208e-06	1	3.25407e-05	4.38507	4.15011	0.83649	0.174723	4.34091
50	-7.4208e-06	1	9.36896e-06	1.26253	4.15011	0.957785	0.174723	1.65449
100	-7.4208e-06	1	1.23858e-05	1.66906	4.15011	0.924581	0.174723	2.37564
150	-7.4208e-06	1	1.58302e-05	2.13322	4.15011	0.899714	0.174723	2.98076
200	-7.4208e-06	1	1.92726e-05	2.5971	4.15011	0.881549	0.174723	3.4367
250	-7.4208e-06	1	2.24267e-05	3.02214	4.15011	0.868391	0.174723	3.76089
300	-7.4208e-06	1	2.51415e-05	3.38798	4.15011	0.858824	0.174723	3.98291
350	-7.4208e-06	1	2.73779e-05	3.68935	4.15011	0.851778	0.174723	4.13061
400	-7.4208e-06	1	2.91682e-05	3.9306	4.15011	0.846481	0.174723	4.2262
450	-7.4208e-06	1	3.05779e-05	4.12057	4.15011	0.842395	0.174723	4.28602
500	-7.4208e-06	1	3.16799e-05	4.26906	4.15011	0.839149	0.174723	4.32161
550	-7.4208e-06	1	3.25407e-05	4.38507	4.15011	0.83649	0.174723	4.34091
600	-7.4208e-06	1	3.3216e-05	4.47606	4.15011	0.834247	0.174723	4.34931
650	-7.4208e-06	1	3.37494e-05	4.54795	4.15011	0.832302	0.174723	4.35045
700	-7.4208e-06	1	3.41748e-05	4.60527	4.15011	0.830575	0.174723	4.34677
750	-7.4208e-06	1	3.45176e-05	4.65146	4.15011	0.829011	0.174723	4.3399
800	-7.4208e-06	1	3.47969e-05	4.68909	4.15011	0.827571	0.174723	4.33094
850	-7.4208e-06	1	3.50269e-05	4.72009	4.15011	0.826227	0.174723	4.32062
900	-7.4208e-06	1	3.52183e-05	4.74589	4.15011	0.824961	0.174723	4.30944
950	-7.4208e-06	1	3.53792e-05	4.76756	4.15011	0.823758	0.174723	4.29774
1000	-7.4208e-06	1	3.55155e-05	4.78593	4.15011	0.822608	0.174723	4.28573
1050	-7.4208e-06	1	3.56319e-05	4.80162	4.15011	0.821503	0.174723	4.27357
1100	-7.4208e-06	1	3.57318e-05	4.81509	4.15011	0.820438	0.174723	4.26136
1150	-7.4208e-06	1	3.58181e-05	4.82671	4.15011	0.819408	0.174723	4.24915
1200	-7.4208e-06	1	3.58928e-05	4.83678	4.15011	0.818409	0.174723	4.237
1250	-7.4208e-06	1	3.59577e-05	4.84553	4.15011	0.817438	0.174723	4.22494
1300	-7.4208e-06	1	3.60142e-05	4.85313	4.15011	0.816493	0.174723	4.21298
1350	-7.4208e-06	1	3.60633e-05	4.85975	4.15011	0.815573	0.174723	4.20113
1400	-7.4208e-06	1	3.6106e-05	4.86551	4.15011	0.814674	0.174723	4.18939
1450	-7.4208e-06	1	3.61432e-05	4.87052	4.15011	0.813797	0.174723	4.17777
1500	-7.4208e-06	1	3.61754e-05	4.87486	4.15011	0.812939	0.174723	4.16628
1550	-7.4208e-06	1	3.62032e-05	4.87861	4.15011	0.812099	0.174723	4.1549
1600	-7.4208e-06	1	3.62271e-05	4.88183	4.15011	0.811277	0.174723	4.14363
1650	-7.4208e-06	1	3.62475e-05	4.88458	4.15011	0.810471	0.174723	4.13248
1700	-7.4208e-06	1	3.62649e-05	4.88692	4.15011	0.80968	0.174723	4.12144
1750	-7.4208e-06	1	3.62794e-05	4.88888	4.15011	0.808904	0.174723	4.1105
1800	-7.4208e-06	1	3.62914e-05	4.8905	4.15011	0.808142	0.174723	4.09967
1850	-7.4208e-06	1	3.63012e-05	4.89181	4.15011	0.807393	0.174723	4.08894
1900	-7.4208e-06	1	3.63089e-05	4.89285	4.15011	0.806657	0.174723	4.07831
1950	-7.4208e-06	1	3.63147e-05	4.89363	4.15011	0.805932	0.174723	4.06777
2000	-7.4208e-06	1	3.63188e-05	4.89419	4.15011	0.805219	0.174723	4.05733
2050	-7.4208e-06	1	3.63214e-05	4.89453	4.15011	0.804517	0.174723	4.04697
2100	-7.4208e-06	1	3.63225e-05	4.89469	4.15011	0.803826	0.174723	4.03671
2150	-7.4208e-06	1	3.63223e-05	4.89466	4.15011	0.803144	0.174723	4.02652
2200	-7.4208e-06	1	3.63209e-05	4.89448	4.15011	0.802472	0.174723	4.01642
2250	-7.4208e-06	1	3.63184e-05	4.89414	4.15011	0.801809	0.174723	4.0064
2300	-7.4208e-06	1	3.63148e-05	4.89365	4.15011	0.801155	0.174723	3.99646
2350	-7.4208e-06	1	3.63103e-05	4.89304	4.15011	0.800509	0.174723	3.98659
2400	-7.4208e-06	1	3.63048e-05	4.8923	4.15011	0.799872	0.174723	3.9768
2450	-7.4208e-06	1	3.62984e-05	4.89144	4.15011	0.799242	0.174723	3.96707
2500	-7.4208e-06	1	3.62912e-05	4.89047	4.15011	0.79862	0.174723	3.95742
2550	-7.4208e-06	1	3.62832e-05	4.88939	4.15011	0.798005	0.174723	3.94784
2600	-7.4208e-06	1	3.62745e-05	4.88822	4.15011	0.797397	0.174723	3.93832
2650	-7.4208e-06	1	3.6265e-05	4.88694	4.15011	0.796796	0.174723	3.92887
2700	-7.4208e-06	1	3.62548e-05	4.88557	4.15011	0.796201	0.174723	3.91949
2750	-7.4208e-06	1	3.6244e-05	4.8841	4.15011	0.795612	0.174723	3.91016
2800	-7.4208e-06	1	3.62324e-05	4.88255	4.15011	0.79503	0.174723	3.9009
50	-7.4208e-06	1	9.36886e-06	1.26251	4.15011	0.957784	0.174723	1.65443
100	-7.4208e-06	1	1.23856e-05	1.66904	4.15011	0.92458	0.174723	2.37559
150	-7.4208e-06	1	1.58301e-05	2.13321	4.15011	0.899714	0.174723	2.98077
200	-7.4208e-06	1	1.92726e-05	2.59711	4.15011	0.88155	0.174723	3.43678
250	-7.4208e-06	1	2.2427e-05	3.02217	4.15011	0.868393	0.174723	3.76104
300	-7.4208e-06	1	2.5142e-05	3.38805	4.15011	0.858828	0.174723	3.9831
350	-7.4208e-06	1	2.73787e-05	3.68945	4.15011	0.851783	0.174723	4.13085
400	-7.4208e-06	1	2.91693e-05	3.93074	4.15011	0.846487	0.174723	4.22646
450	-7.4208e-06	1	3.05792e-05	4.12074	4.15011	0.842401	0.174723	4.28629
500	-7.4208e-06	1	3.16814e-05	4.26926	4.15011	0.839156	0.174723	4.32189
550	-7.4208e-06	1	3.25424e-05	4.38529	4.15011	0.836498	0.174723	4.3412
600	-7.4208e-06	1	3.32177e-05	4.4763	4.15011	0.834255	0.174723	4.34961
650	-7.4208e-06	1	3.37513e-05	4.5482	4.15011	0.832311	0.174723	4.35075
700	-7.4208e-06	1	3.41768e-05	4.60553	4.15011	0.830585	0.174723	4.34708
750	-7.4208e-06	1	3.45196e-05	4.65174	4.15011	0.829021	0.174723	4.34021
800	-7.4208e-06	1	3.4799e-05	4.68938	4.15011	0.827581	0.174723	4.33125
850	-7.4208e-06	1	3.5029e-05	4.72038	4.15011	0.826238	0.174723	4.32093
900	-7.4208e-06	1	3.52205e-05	4.74618	4.15011	0.824972	0.174723	4.30976
950	-7.4208e-06	1	3.53814e-05	4.76787	4.15011	0.823769	0.174723	4.29806
1000	-7.4208e-06	1	3.55178e-05	4.78624	4.15011	0.822619	0.174723	4.28605
1050	-7.4208e-06	1	3.56342e-05	4.80193	4.15011	0.821514	0.174723	4.27389
1100	-7.4208e-06	1	3.57342e-05	4.81541	4.15011	0.820449	0.174723	4.26168
1150	-7.4208e-06	1	3.58205e-05	4.82703	4.15011	0.819419	0.174723	4.24947
1200	-7.4208e-06	1	3.58952e-05	4.83711	4.15011	0.81842	0.174723	4.23733
1250	-7.4208e-06	1	3.59602e-05	4.84586	4.15011	0.81745	0.174723	4.22526
1300	-7.4208e-06	1	3.60166e-05	4.85347	4.15011	0.816505	0.174723	4.2133
1350	-7.4208e-06	1	3.60658e-05	4.86009	4.15011	0.815585	0.174723	4.20145
1400	-7.4208e-06	1	3.61085e-05	4.86585	4.15011	0.814687	0.174723	4.18972
1450	-7.4208e-06	1	3.61457e-05	4.87086	4.15011	0.813809	0.174723	4.1781
1500	-7.4208e-06	1	3.61779e-05	4.8752	4.15011	0.812951	0.174723	4.1666
1550	-7.4208e-06	1	3.62057e-05	4.87895	4.15011	0.812112	0.174723	4.15523
1600	-7.4208e-06	1	3.62297e-05	4.88218	4.15011	0.811289	0.174723	4.14396
1650	-7.4208e-06	1	3.62501e-05	4.88493	4.15011	0.810483	0.174723	4.13281
1700	-7.4208e-06	1	3.62675e-05	4.88727	4.15011	0.809693	0.174723	4.12177
1750	-7.4208e-06	1	3.6282e-05	4.88923	4.15011	0.808917	0.174723	4.11083
1800	-7.4208e-06	1	3.62941e-05	4.89085	4.15011	0.808155	0.174723	4.1
1850	-7.4208e-06	1	3.63038e-05	4.89217	4.15011	0.807406	0.174723	4.08927
1900	-7.4208e-06	1	3.63115e-05	4.89321	4.15011	0.80667	0.174723	4.07864
1950	-7.4208e-06	1	3.63174e-05	4.89399	4.15011	0.805945	0.174723	4.06811
2000	-7.4208e-06	1	3.63215e-05	4.89455	4.15011	0.805232	0.174723	4.05766
2050	-7.4208e-06	1	3.63241e-05	4.89489	4.15011	0.804531	0.174723	4.04731
2100	-7.4208e-06	1	3.63252e-05	4.89505	4.15011	0.803839	0.174723	4.03704
2150	-7.4208e-06	1	3.6325e-05	4.89503	4.15011	0.803157	0.174723	4.02686
2200	-7.4208e-06	1	3.63236e-05	4.89484	4.15011	0.802485	0.174723	4.01675
2250	-7.4208e-06	1	3.63211e-05	4.8945	4.15011	0.801823	0.174723	4.00673
2300	-7.4208e-06	1	3.63175e-05	4.89402	4.15011	0.801169	0.174723	3.99679
2350	-7.4208e-06	1	3.6313e-05	4.8934	4.15011	0.800523	0.174723	3.98692
2400	-7.4208e-06	1	3.63075e-05	4.89266	4.15011	0.799886	0.174723	3.97713
2450	-7.4208e-06	1	3.63011e-05	4.89181	4.15011	0.799256	0.174723	3.96741
2500	-7.4208e-06	1	3.6294e-05	4.89084	4.15011	0.798634	0.174723	3.95776
2550	-7.4208e-06	1	3.6286e-05	4.88976	4.15011	0.798019	0.174723	3.94817
2600	-7.4208e-06	1	3.62772e-05	4.88858	4.15011	0.797411	0.174723	3.93866
2650	-7.4208e-06	1	3.62678e-05	4.88731	4.15011	0.79681	0.174723	3.92921
2700	-7.4208e-06	1	3.62576e-05	4.88594	4.15011	0.796215	0.174723	3.91982
2750	-7.4208e-06	1	3.62467e-05	4.88447	4.15011	0.795626	0.174723	3.9105
2800	-7.4208e-06	1	3.62352e-05	4.88292	4.15011	0.795044	0.174723	3.90123
2850	-7.4208e-06	1	3.6223e-05	4.88128	4.15011	0.794467	0.174723	3.89203
2900	-7.4208e-06	1	3.62102e-05	4.87956	4.15011	0.793896	0.174723	3.88288
2950	-7.4208e-06	1	3.61968e-05	4.87775	4.15011	0.793331	0.174723	3.8738
3000	-7.4208e-06	1	3.61828e-05	4.87586	4.15011	0.79277	0.174723	3.86476
3050	-7.4208e-06	1	3.61681e-05	4.87388	4.15011	0.792215	0.174723	3.85579
3100	-7.4208e-06	1	3.61529e-05	4.87183	4.15011	0.791665	0.174723	3.84686
3150	-7.4208e-06	1	3.61371e-05	4.8697	4.15011	0.79112	0.174723	3.83799
3200	-7.4208e-06	1	3.61207e-05	4.86749	4.15011	0.79058	0.174723	3.82917
3250	-7.4208e-06	1	3.61037e-05	4.8652	4.15011	0.790044	0.174723	3.82041
3300	-7.4208e-06	1	3.60861e-05	4.86283	4.15011	0.789512	0.174723	3.81169
3350	-7.4208e-06	1	3.6068e-05	4.86039	4.15011	0.788985	0.174723	3.80302
3400	-7.4208e-06	1	3.60493e-05	4.85786	4.15011	0.788462	0.174723	3.7944
3450	-7.4208e-06	1	3.603e-05	4.85527	4.15011	0.787943	0.174723	3.78583
3500	-7.4208e-06	1	3.60102e-05	4.85259	4.15011	0.787427	0.174723	3.7773
3550	-7.4208e-06	1	3.59898e-05	4.84985	4.15011	0.786916	0.174723	3.76882
3600	-7.4208e-06	1	3.59688e-05	4.84702	4.15011	0.786409	0.174723	3.76038
3650	-7.4208e-06	1	3.59473e-05	4.84412	4.15011	0.785905	0.174723	3.75199
3700	-7.4208e-06	1	3.59252e-05	4.84115	4.15011	0.785405	0.174723	3.74364
3750	-7.4208e-06	1	3.59026e-05	4.8381	4.15011	0.784908	0.174723	3.73534
3800	-7.4208e-06	1	3.58794e-05	4.83498	4.15011	0.784415	0.174723	3.72708
3850	-7.4208e-06	1	3.58557e-05	4.83178	4.15011	0.783925	0.174723	3.71886
3900	-7.4208e-06	1	3.58315e-05	4.82851	4.15011	0.783438	0.174723	3.71068
3950	-7.4208e-06	1	3.58067e-05	4.82517	4.15011	0.782954	0.174723	3.70254
4000	-7.4208e-06	1	3.57813e-05	4.82176	4.15011	0.782474	0.174723	3.69444
4050	-7.4208e-06	1	3.57555e-05	4.81827	4.15011	0.781996	0.174723	3.68638
4100	-7.4208e-06	1	3.57291e-05	4.81471	4.15011	0.781522	0.174723	3.67836
4150	-7.4208e-06	1	3.57021e-05	4.81109	4.15011	0.78105	0.174723	3.67038
4200	-7.4208e-06	1	3.56747e-05	4.80739	4.15011	0.780581	0.174723	3.66243
4250	-7.4208e-06	1	3.56467e-05	4.80362	4.15011	0.780115	0.174723	3.65453
4300	-7.4208e-06	1	3.56182e-05	4.79978	4.15011	0.779652	0.174723	3.64666
4350	-7.4208e-06	1	3.55892e-05	4.79587	4.15011	0.779191	0.174723	3.63883
4400	-7.4208e-06	1	3.55598e-05	4.7919	4.15011	0.778733	0.174723	3.63103
4450	-7.4208e-06	1	3.55298e-05	4.78786	4.15011	0.778277	0.174723	3.62327
4500	-7.4208e-06	1	3.54993e-05	4.78375	4.15011	0.777824	0.174723	3.61555
4550	-7.4208e-06	1	3.54683e-05	4.77957	4.15011	0.777374	0.174723	3.60786
4600	-7.4208e-06	1	3.54368e-05	4.77533	4.15011	0.776926	0.174723	3.6002
4650	-7.4208e-06	1	3.54049e-05	4.77103	4.15011	0.77648	0.174723	3.59258
4700	-7.4208e-06	1	3.53725e-05	4.76666	4.15011	0.776036	0.174723	3.585
4750	-7.4208e-06	1	3.53396e-05	4.76223	4.15011	0.775595	0.174723	3.57745
4800	-7.4208e-06	1	3.53062e-05	4.75774	4.15011	0.775156	0.174723	3.56993
4850	-7.4208e-06	1	3.52724e-05	4.75318	4.15011	0.774719	0.174723	3.56244
4900	-7.4208e-06	1	3.52382e-05	4.74857	4.15011	0.774284	0.174723	3.55499
4950	-7.4208e-06	1	3.52035e-05	4.74389	4.15011	0.773852	0.174723	3.54757
5000	-7.4208e-06	1	3.51684e-05	4.73916	4.15011	0.773421	0.174723	3.54018
5050	-7.4208e-06	1	3.51328e-05	4.73436	4.15011	0.772993	0.174723	3.53282
5100	-7.4208e-06	1	3.50968e-05	4.72952	4.15011	0.772567	0.174723	3.5255
