Time	inlet	inlet	outlet	outlet	solid	solid	 volume 	 average
1	-7.44063e-06	1.00224	7.44063e-06	1.00224	4.15011	3	0.174723	1
2	-7.43996e-06	1.00215	7.43996e-06	1.00215	4.15011	3	0.174723	1
3	-7.43707e-06	1.00176	7.43707e-06	1.00176	4.15011	3	0.174723	1
4	-7.43261e-06	1.00116	7.43261e-06	1.00116	4.15011	3	0.174723	1
5	-7.42677e-06	1.00037	7.42677e-06	1.00037	4.15011	3	0.174723	1
6	-7.4197e-06	0.999418	7.4197e-06	0.999418	4.15011	3	0.174723	1
7	-7.41154e-06	0.998319	7.41154e-06	0.998319	4.15011	3	0.174723	1
8	-7.4024e-06	0.997087	7.4024e-06	0.997087	4.15011	3	0.174723	1
9	-7.39236e-06	0.995735	7.39236e-06	0.995735	4.15011	3	0.174723	1
10	-7.38151e-06	0.994274	7.38151e-06	0.994274	4.15011	3	0.174723	1
11	-7.36992e-06	0.992713	7.36992e-06	0.992713	4.15011	3	0.174723	1
12	-7.35766e-06	0.991061	7.35766e-06	0.991061	4.15011	3	0.174723	1
13	-7.34478e-06	0.989326	7.34478e-06	0.989326	4.15011	3	0.174723	1
14	-7.33133e-06	0.987514	7.33133e-06	0.987514	4.15011	3	0.174723	1
15	-7.31735e-06	0.985631	7.31735e-06	0.985631	4.15011	3	0.174723	1
16	-7.30288e-06	0.983682	7.30288e-06	0.983682	4.15011	3	0.174723	1
17	-7.28796e-06	0.981672	7.28796e-06	0.981672	4.15011	3	0.174723	1
18	-7.27261e-06	0.979606	7.27261e-06	0.979606	4.15011	3	0.174723	1
19	-7.25688e-06	0.977486	7.25688e-06	0.977486	4.15011	3	0.174723	1
20	-7.24077e-06	0.975317	7.24077e-06	0.975317	4.15011	3	0.174723	1
21	-7.22432e-06	0.973101	7.22432e-06	0.973101	4.15011	3	0.174723	1
22	-7.20755e-06	0.970842	7.20755e-06	0.970842	4.15011	3	0.174723	1
23	-7.19048e-06	0.968542	7.19048e-06	0.968542	4.15011	3	0.174723	1
