"Result","U:0","U:1","U:2","T","T_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.98283e-33,1.00000e-01,1.90872e-37,-0.00000e+00,1.00000e+00,1.00000e+00,1,0.00000e+00,0.00000e+00,9.55615e-01,0.00000e+00
-6.75050e-02,9.88723e-02,-3.62552e-06,-5.18224e-26,9.34796e-01,9.34796e-01,1,3.82246e-02,3.82246e-02,9.55615e-01,0.00000e+00
-1.41239e-01,9.59677e-02,-5.35932e-06,-2.87143e-26,8.68408e-01,8.68408e-01,1,7.64492e-02,7.64492e-02,9.55615e-01,0.00000e+00
-2.22432e-01,9.13871e-02,-7.12389e-06,1.65960e-26,8.00716e-01,8.00716e-01,1,1.14674e-01,1.14674e-01,9.55615e-01,0.00000e+00
-3.10933e-01,8.50865e-02,-3.11911e-06,7.96659e-26,7.32890e-01,7.32890e-01,1,1.52898e-01,1.52898e-01,9.55615e-01,0.00000e+00
-4.08993e-01,7.68460e-02,2.09119e-06,4.49611e-27,6.64350e-01,6.64350e-01,1,1.91123e-01,1.91123e-01,9.55615e-01,0.00000e+00
-5.18752e-01,6.65194e-02,4.98350e-06,8.54398e-26,5.95394e-01,5.95394e-01,1,2.29348e-01,2.29348e-01,9.55615e-01,0.00000e+00
-6.42162e-01,5.43485e-02,5.25828e-06,2.95887e-25,5.26370e-01,5.26370e-01,1,2.67572e-01,2.67572e-01,9.55615e-01,0.00000e+00
-7.81899e-01,4.08863e-02,7.59224e-06,-1.31526e-24,4.57694e-01,4.57694e-01,1,3.05797e-01,3.05797e-01,9.55615e-01,0.00000e+00
-9.44599e-01,2.69173e-02,5.92430e-06,9.10732e-25,3.88958e-01,3.88958e-01,1,3.44021e-01,3.44021e-01,9.55615e-01,0.00000e+00
-1.13768e+00,1.40374e-02,3.53730e-06,4.69045e-25,3.20872e-01,3.20872e-01,1,3.82246e-01,3.82246e-01,9.55615e-01,0.00000e+00
-1.38338e+00,3.88809e-03,1.83102e-06,-2.91756e-24,2.50827e-01,2.50827e-01,1,4.20471e-01,4.20471e-01,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.58695e-01,4.58695e-01,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.96920e-01,4.96920e-01,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,5.35144e-01,5.35144e-01,9.55615e-01,0.00000e+00
