"Result","T","T_0","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00000e+00,1.00000e+00,1.00000e+00,9.47155e-02,0.00000e+00,0.00000e+00,1,0.00000e+00,0.00000e+00,9.55614e-01,0.00000e+00
-1.64900e-01,9.43842e-01,9.43842e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,3.82246e-02,3.82246e-02,9.55614e-01,0.00000e+00
-3.29800e-01,8.87684e-01,8.87684e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,7.64491e-02,7.64491e-02,9.55614e-01,0.00000e+00
-4.94700e-01,8.31526e-01,8.31526e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,1.14674e-01,1.14674e-01,9.55614e-01,0.00000e+00
-6.59599e-01,7.75368e-01,7.75368e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,1.52898e-01,1.52898e-01,9.55614e-01,0.00000e+00
-8.24499e-01,7.19210e-01,7.19210e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,1.91123e-01,1.91123e-01,9.55614e-01,0.00000e+00
-9.89399e-01,6.63052e-01,6.63052e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,2.29347e-01,2.29347e-01,9.55614e-01,0.00000e+00
-1.15430e+00,6.06895e-01,6.06895e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,2.67572e-01,2.67572e-01,9.55614e-01,0.00000e+00
-1.31920e+00,5.50737e-01,5.50737e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,3.05796e-01,3.05796e-01,9.55614e-01,0.00000e+00
-1.48410e+00,4.94579e-01,4.94579e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,3.44021e-01,3.44021e-01,9.55614e-01,0.00000e+00
-1.64900e+00,4.38421e-01,4.38421e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,3.82246e-01,3.82246e-01,9.55614e-01,0.00000e+00
-1.81390e+00,3.82263e-01,3.82263e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,4.20470e-01,4.20470e-01,9.55614e-01,0.00000e+00
-1.97880e+00,3.26105e-01,3.26105e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,4.58695e-01,4.58695e-01,9.55614e-01,0.00000e+00
-2.14370e+00,2.69947e-01,2.69947e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,4.96919e-01,4.96919e-01,9.55614e-01,0.00000e+00
-2.30860e+00,2.13789e-01,2.13789e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,5.35144e-01,5.35144e-01,9.55614e-01,0.00000e+00
-2.47350e+00,1.57631e-01,1.57631e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,5.73368e-01,5.73368e-01,9.55614e-01,0.00000e+00
-2.63840e+00,1.01473e-01,1.01473e-01,9.47155e-02,0.00000e+00,0.00000e+00,1,6.11593e-01,6.11593e-01,9.55614e-01,0.00000e+00
-2.80330e+00,6.28360e-02,6.28360e-02,9.47155e-02,0.00000e+00,0.00000e+00,1,6.49818e-01,6.49818e-01,9.55614e-01,0.00000e+00
-2.96820e+00,5.92399e-02,5.92399e-02,9.47155e-02,0.00000e+00,0.00000e+00,1,6.88042e-01,6.88042e-01,9.55614e-01,0.00000e+00
-3.13310e+00,5.56439e-02,5.56439e-02,9.47155e-02,0.00000e+00,0.00000e+00,1,7.26267e-01,7.26267e-01,9.55614e-01,0.00000e+00
